id,class_label,rank_label
0,财经,高风险
1,房产,中风险
2,财经,高风险
3,财经,高风险
4,财经,高风险
5,财经,高风险
6,财经,高风险
7,财经,高风险
8,财经,高风险
9,房产,中风险
10,财经,高风险
11,房产,中风险
12,财经,高风险
13,房产,中风险
14,财经,高风险
15,财经,高风险
16,财经,高风险
17,财经,高风险
18,房产,中风险
19,财经,高风险
20,财经,高风险
21,财经,高风险
22,财经,高风险
23,财经,高风险
24,房产,中风险
25,财经,高风险
26,财经,高风险
27,财经,高风险
28,财经,高风险
29,财经,高风险
30,财经,高风险
31,财经,高风险
32,财经,高风险
33,财经,高风险
34,财经,高风险
35,财经,高风险
36,财经,高风险
37,财经,高风险
38,财经,高风险
39,财经,高风险
40,财经,高风险
41,财经,高风险
42,财经,高风险
43,财经,高风险
44,财经,高风险
45,财经,高风险
46,财经,高风险
47,财经,高风险
48,房产,中风险
49,财经,高风险
50,财经,高风险
51,财经,高风险
52,房产,中风险
53,财经,高风险
54,财经,高风险
55,房产,中风险
56,财经,高风险
57,房产,中风险
58,财经,高风险
59,财经,高风险
60,财经,高风险
61,财经,高风险
62,财经,高风险
63,财经,高风险
64,财经,高风险
65,财经,高风险
66,财经,高风险
67,财经,高风险
68,财经,高风险
69,房产,中风险
70,财经,高风险
71,财经,高风险
72,财经,高风险
73,财经,高风险
74,财经,高风险
75,财经,高风险
76,房产,中风险
77,财经,高风险
78,财经,高风险
79,财经,高风险
80,财经,高风险
81,房产,中风险
82,财经,高风险
83,财经,高风险
84,财经,高风险
85,财经,高风险
86,财经,高风险
87,房产,中风险
88,财经,高风险
89,财经,高风险
90,财经,高风险
91,财经,高风险
92,财经,高风险
93,房产,中风险
94,财经,高风险
95,财经,高风险
96,财经,高风险
97,财经,高风险
98,财经,高风险
99,财经,高风险
100,财经,高风险
101,财经,高风险
102,房产,中风险
103,财经,高风险
104,财经,高风险
105,财经,高风险
106,财经,高风险
107,财经,高风险
108,财经,高风险
109,财经,高风险
110,房产,中风险
111,财经,高风险
112,财经,高风险
113,财经,高风险
114,财经,高风险
115,财经,高风险
116,财经,高风险
117,财经,高风险
118,财经,高风险
119,财经,高风险
120,财经,高风险
121,财经,高风险
122,财经,高风险
123,房产,中风险
124,财经,高风险
125,财经,高风险
126,财经,高风险
127,财经,高风险
128,财经,高风险
129,财经,高风险
130,财经,高风险
131,财经,高风险
132,房产,中风险
133,财经,高风险
134,财经,高风险
135,财经,高风险
136,财经,高风险
137,财经,高风险
138,财经,高风险
139,财经,高风险
140,房产,中风险
141,财经,高风险
142,房产,中风险
143,财经,高风险
144,财经,高风险
145,财经,高风险
146,财经,高风险
147,财经,高风险
148,财经,高风险
149,房产,中风险
150,财经,高风险
151,财经,高风险
152,财经,高风险
153,财经,高风险
154,财经,高风险
155,财经,高风险
156,财经,高风险
157,财经,高风险
158,财经,高风险
159,财经,高风险
160,财经,高风险
161,财经,高风险
162,财经,高风险
163,财经,高风险
164,财经,高风险
165,财经,高风险
166,财经,高风险
167,财经,高风险
168,财经,高风险
169,财经,高风险
170,财经,高风险
171,财经,高风险
172,财经,高风险
173,财经,高风险
174,财经,高风险
175,财经,高风险
176,财经,高风险
177,财经,高风险
178,财经,高风险
179,财经,高风险
180,财经,高风险
181,财经,高风险
182,财经,高风险
183,房产,中风险
184,财经,高风险
185,财经,高风险
186,房产,中风险
187,财经,高风险
188,房产,中风险
189,财经,高风险
190,财经,高风险
191,财经,高风险
192,财经,高风险
193,房产,中风险
194,房产,中风险
195,房产,中风险
196,房产,中风险
197,财经,高风险
198,财经,高风险
199,财经,高风险
200,财经,高风险
201,财经,高风险
202,财经,高风险
203,财经,高风险
204,财经,高风险
205,财经,高风险
206,财经,高风险
207,财经,高风险
208,财经,高风险
209,财经,高风险
210,财经,高风险
211,财经,高风险
212,财经,高风险
213,财经,高风险
214,财经,高风险
215,财经,高风险
216,财经,高风险
217,财经,高风险
218,财经,高风险
219,财经,高风险
220,房产,中风险
221,财经,高风险
222,财经,高风险
223,财经,高风险
224,财经,高风险
225,房产,中风险
226,财经,高风险
227,房产,中风险
228,财经,高风险
229,财经,高风险
230,财经,高风险
231,财经,高风险
232,财经,高风险
233,财经,高风险
234,财经,高风险
235,财经,高风险
236,房产,中风险
237,财经,高风险
238,财经,高风险
239,财经,高风险
240,财经,高风险
241,财经,高风险
242,财经,高风险
243,财经,高风险
244,财经,高风险
245,财经,高风险
246,财经,高风险
247,财经,高风险
248,财经,高风险
249,财经,高风险
250,财经,高风险
251,财经,高风险
252,财经,高风险
253,财经,高风险
254,财经,高风险
255,财经,高风险
256,房产,中风险
257,财经,高风险
258,财经,高风险
259,财经,高风险
260,房产,中风险
261,财经,高风险
262,财经,高风险
263,财经,高风险
264,财经,高风险
265,财经,高风险
266,财经,高风险
267,财经,高风险
268,房产,中风险
269,财经,高风险
270,财经,高风险
271,财经,高风险
272,财经,高风险
273,财经,高风险
274,财经,高风险
275,财经,高风险
276,财经,高风险
277,财经,高风险
278,财经,高风险
279,财经,高风险
280,财经,高风险
281,财经,高风险
282,财经,高风险
283,房产,中风险
284,财经,高风险
285,财经,高风险
286,财经,高风险
287,财经,高风险
